session,avg_reward,final_dist,initial_dist,improvement
0,-0.0253450870513916,2.916504,4.6112638,1.6947598
1,-0.03919031143188476,4.6793694,2.2310617,-2.4483078
2,-0.025716855704784398,3.3148012,1.9529284,-1.3618728
3,-0.022070791244506834,1.9734209,3.1515799,1.178159
4,-0.04398101043701171,2.0466044,10.172413,8.125809
5,-0.028665933310985568,2.140154,5.152131,3.0119772
6,-0.04210240423679352,3.4145644,8.5936775,5.1791134
7,-0.024493162333965306,2.997031,3.9976687,1.0006378
8,-0.021482300937175746,2.6935866,3.1638198,0.4702332
9,-0.0181125715970993,1.9196903,2.8959787,0.97628844
10,-0.05161847996711731,3.7142427,5.837095,2.122852
11,-0.01912121105194092,2.4448264,1.9370496,-0.50777674
12,-0.06764606451988221,7.4747233,4.5015097,-2.9732137
13,-0.027006880462169647,2.0912445,8.398267,6.307022
14,-0.03453778672218323,3.0508945,6.6725893,3.6216948
